path;data;extension;date;length;length_after_html_drop;@userName;hashtag;URLs;emoticon;emoji;length_after_cleaning_text;language;interjection;target
sms-spam-collection/_ham_/2745.tsms;tick, tick, tick ... babe;tsms;null;26;26; ; ; ; ; ;26;sk; ;ham
sms-spam-collection/_ham_/5042.tsms; ran    younger man.   make pretty babies  ;tsms;null;71;71; ; ; ;:) ; ;68;en;man -- ;ham
sms-spam-collection/_ham_/727.tsms;   lar '   ba dao ok... 1 pm lor...        ah...       fri       today...;tsms;null;141;141; ; ; ; ; ;141;en;why -- so -- not -- ;ham
sms-spam-collection/_ham_/2724.tsms;tunde,    .    wishing   great day. abiola.;tsms;null;72;72; ; ; ; ; ;72;en;this -- how -- great -- doing -- ;ham
sms-spam-collection/_ham_/291.tsms;hey  told    gautham ass hole?;tsms;null;38;38; ; ; ; ; ;38;en;hey -- ;ham
sms-spam-collection/_ham_/4252.tsms;  god joanna  freaking  . ' looked    friends  find photos  .   '   stuff   myspace     logged     year. ;tsms;null;184;184; ; ; ;:/ ; ;181;en;stuff -- out -- oh my god -- oh my -- oh -- like -- ;ham
sms-spam-collection/_ham_/1238.tsms;  paper   morn  aft tomorrow?;tsms;null;34;34; ; ; ; ; ;34;en; ;ham
sms-spam-collection/_ham_/1169.tsms; . .     bus. .         tomorrow;tsms;null;72;72; ; ; ; ; ;72;en;okay -- now -- come -- ;ham
sms-spam-collection/_ham_/2979.tsms;yar lor...  raining  stop...   wan 2  ?;tsms;null;61;61; ; ; ; ; ;61;en; ;ham
sms-spam-collection/_ham_/5281.tsms;"helloooo... wake up..! ""sweet"" ""morning"" ""welcomes"" """" ""enjoy"" "" day"" "" full  joy"".. ""good mrng"".";tsms;null;110;110; ; ; ; ; ;110;en;this -- morning -- good -- ;ham
sms-spam-collection/_ham_/4615.tsms;hows  favourite person today?   workin hard?  sleep   night  rang   4.30;tsms;null;102;102; ; ; ; ; ;102;en;night -- ;ham
sms-spam-collection/_ham_/4510.tsms;ü takin linear algebra today?;tsms;null;30;30; ; ; ; ; ;30;tr; ;ham
sms-spam-collection/_ham_/3924.tsms; lor...         ass hole?       .  drop  cards   box ?;tsms;null;122;122; ; ; ; ; ;122;en;right -- okay -- not -- later -- ;ham
sms-spam-collection/_ham_/3572.tsms;  dint  touch  .;tsms;null;31;31; ; ; ; ; ;31;en; ;ham
sms-spam-collection/_ham_/2559.tsms; friends    drive  someplace,    ;tsms;null;66;66; ; ; ; ; ;66;en; ;ham
sms-spam-collection/_ham_/3134.tsms;  messages.  food?;tsms;null;26;26; ; ; ; ; ;26;en;so -- ;ham
sms-spam-collection/_ham_/5303.tsms;  time    tomorrow;tsms;null;36;36; ; ; ; ; ;36;en;what -- time -- come -- ;ham
sms-spam-collection/_ham_/510.tsms; opinion  ? 1.  2. jada 3. kusruthi 4. lovable 5. silent 6. spl character 7.  matured 8. stylish 9. simple  reply..;tsms;null;137;137; ; ; ; ; ;137;en;over -- not -- ;ham
sms-spam-collection/_ham_/1620.tsms;friends    stay  fb chat ;tsms;null;40;40; ; ; ; ; ;40;en; ;ham
sms-spam-collection/_ham_/4030.tsms;[…] ,  good evenings  ! ;tsms;null;39;39; ; ; ; ; ;39;en;good -- ;ham
sms-spam-collection/_ham_/3072.tsms;     told   yesterday?;tsms;null;47;47; ; ; ; ; ;47;en; ;ham
sms-spam-collection/_ham_/605.tsms;meet after lunch la...;tsms;null;23;23; ; ; ; ; ;23;de; ;ham
sms-spam-collection/_ham_/465.tsms;       railway;tsms;null;30;30; ; ; ; ; ;30;en;way -- okay -- ;ham
sms-spam-collection/_ham_/1310.tsms;,  careful !   text  drive !;tsms;null;40;40; ; ; ; ; ;40;en;okay -- not -- be careful -- ;ham
sms-spam-collection/_ham_/1464.tsms; good     find ü...  lucky  told ü   earlier...  pple  finish ü   again...;tsms;null;112;112; ; ; ; ; ;112;en;see -- okay -- no more -- later -- good -- come -- ;ham
sms-spam-collection/_ham_/4961.tsms;i want <#> rs da:)do you have it? ;tsms;null;42;35; ; ; ; ; ;35;br; ;ham
sms-spam-collection/_ham_/3494.tsms;cool, text    head ;tsms;null;32;32; ; ; ; ; ;32;en;when -- out -- ;ham
sms-spam-collection/_ham_/2310.tsms; have 2 sleeping bags, 1 blanket and paper and  phone details. anything else?;tsms;null;79;79; ; ; ; ; ;79;no; ;ham
sms-spam-collection/_ham_/845.tsms;k.k:)when are you going?;tsms;null;25;25; ; ; ; ; ;25;ht; ;ham
sms-spam-collection/_ham_/448.tsms; wont  concentration dear      mind   ;tsms;null;74;74; ; ; ;:-) ; ;70;en;you know -- ;ham
sms-spam-collection/_ham_/1619.tsms; 2 oz guy   kind  flaky   friend  interested  picking  $ <#> worth tonight   ;tsms;null;116;110; ; ; ; ; ;110;en; ;ham
sms-spam-collection/_ham_/395.tsms;pick    7.30ish?  time     ?;tsms;null;57;57; ; ; ; ; ;57;en;what -- time -- ;ham
sms-spam-collection/_ham_/3599.tsms;alright,  head    ;tsms;null;31;31; ; ; ; ; ;31;en;out -- alright -- ;ham
sms-spam-collection/_ham_/1448.tsms;don‘t give  flying monkeys       don‘t mind.  friend  mine   !;tsms;null;104;104; ; ; ; ; ;104;en;what -- ;ham
sms-spam-collection/_ham_/394.tsms;   .    office   lap   room         days.  didnt shut  ;tsms;null;116;116; ; ; ; ; ;116;en;yes -- so -- ;ham
sms-spam-collection/_ham_/3390.tsms;. guess    screwd;tsms;null;30;30; ; ; ; ; ;30;en;oh -- ;ham
sms-spam-collection/_ham_/3488.tsms;change windows logoff sound..;tsms;null;30;30; ; ; ; ; ;30;en; ;ham
sms-spam-collection/_ham_/1938.tsms;" fact  you'reply cleaning shows    ' upset.  priority  constantly ""    do,""  ""    do.""";tsms;null;134;134; ; ; ; ; ;134;en;you know -- why -- what -- not -- fact -- ;ham
sms-spam-collection/_ham_/2488.tsms; ill drink.pa   .    model  send    mail id past;tsms;null;79;79; ; ; ; ; ;79;en;what -- okay -- doing -- ;ham
sms-spam-collection/_ham_/177.tsms;     mall?;tsms;null;27;27; ; ; ; ; ;27;en; ;ham
sms-spam-collection/_ham_/2783.tsms;    '        check today' steam sales/pee  text         ;tsms;null;122;122; ; ; ; ; ;122;en;when -- well -- this -- so -- right -- come -- ;ham
sms-spam-collection/_ham_/4360.tsms;ü  send   contents page...;tsms;null;36;36; ; ; ; ; ;36;en; ;ham
sms-spam-collection/_ham_/4624.tsms;"   presnts  bcz   mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha ' mns prabha is'love'  .  mis me....";tsms;null;171;171; ; ; ; ; ;171;en;don't -- ;ham
sms-spam-collection/_ham_/5320.tsms;good morning,  love ...    sleep      great day full  feeling   opportunity ...     thought babe,  love  *kiss*;tsms;null;160;160; ; ; ; ; ;160;en;now -- morning -- great -- good morning -- good -- ;ham
sms-spam-collection/_ham_/4496.tsms;hope  text meets  smiling.      text give   reason  smile.   beautiful day.;tsms;null;110;110; ; ; ; ; ;110;en;this -- not -- ;ham
sms-spam-collection/_ham_/3748.tsms;ü      noe... '   home   aft wat...;tsms;null;61;61; ; ; ; ; ;61;en;not -- how -- ;ham
sms-spam-collection/_ham_/4580.tsms;no plans yet. what are you doing ?;tsms;null;35;35; ; ; ; ; ;35;ht; ;ham
sms-spam-collection/_ham_/315.tsms;you made my day. do have a great day too.;tsms;null;42;42; ; ; ; ; ;42;ht; ;ham
sms-spam-collection/_ham_/4853.tsms;i liked your new house;tsms;null;23;23; ; ; ; ; ;23;br; ;ham
sms-spam-collection/_ham_/953.tsms;"beautiful truth  gravity.. read carefull "" heart feels light     it..   feels  heavy   leaves it.."" good night";tsms;null;158;158; ; ; ;y: ; ;156;en;when -- night -- good -- ;ham
sms-spam-collection/_ham_/1187.tsms;goodmorning, today   late  <#> minute. ;tsms;null;49;43; ; ; ; ; ;43;en; ;ham
sms-spam-collection/_ham_/3031.tsms; sir,     email    log   usc payment portal. i.ll send   message   explain  things  back home.   great weekend.;tsms;null;174;174; ; ; ; ; ;174;en;how -- great -- ;ham
sms-spam-collection/_ham_/5524.tsms; cool.     you...;tsms;null;36;36; ; ; ; ; ;36;en; ;ham
sms-spam-collection/_ham_/2200.tsms;     stomach   ...;tsms;null;39;39; ; ; ; ; ;39;en;sure -- not -- ;ham
sms-spam-collection/_ham_/3974.tsms;night night,   tomorrow;tsms;null;30;30; ; ; ; ; ;30;en;see -- night night -- night -- ;ham
sms-spam-collection/_ham_/5325.tsms;aah bless! how'  arm?;tsms;null;27;27; ; ; ; ; ;27;en;bless! -- aah -- ;ham
sms-spam-collection/_ham_/2055.tsms;y so late but  need to go n get  laptop...;tsms;null;46;46; ; ; ; ; ;46;it; ;ham
sms-spam-collection/_ham_/1583.tsms;yep, at derek's house now, see you sunday  ;tsms;null;48;46; ; ; ;<3 ; ;44;ht; ;ham
sms-spam-collection/_ham_/4193.tsms;<#> w jetton ave if you forgot ;tsms;null;38;32; ; ; ; ; ;32;ht; ;ham
sms-spam-collection/_ham_/5033.tsms;ok  vl..  know  got adsense approved..;tsms;null;44;44; ; ; ; ; ;44;hr; ;ham
sms-spam-collection/_ham_/1677.tsms;yeah, ' fine!   â£6   ,   ?;tsms;null;51;51; ; ; ; ; ;51;en;yeah -- okay -- get in -- ;ham
sms-spam-collection/_ham_/2926.tsms;  coming  day  class.;tsms;null;33;33; ; ; ; ; ;33;en; ;ham
sms-spam-collection/_ham_/3853.tsms;no, its true..k,do u knw dis no. <#> ? ;tsms;null;45;40; ; ; ; ; ;40;af; ;ham
sms-spam-collection/_ham_/3941.tsms;does daddy have a bb now.;tsms;null;26;26; ; ; ; ; ;26;cy; ;ham
sms-spam-collection/_ham_/4674.tsms; forgot 2  ü  smth.. '  card   present lei... ? ü   2 write smth  sign  ?;tsms;null;108;108; ; ; ; ; ;108;en;how -- ;ham
sms-spam-collection/_ham_/4442.tsms;'  2 orchard  laready  reaching .  reaching?;tsms;null;62;62; ; ; ; ; ;62;en;now -- ;ham
sms-spam-collection/_ham_/4717.tsms;hey.  happened?  switch   cell   day.  isnt good.     care, give   call tomorrow.;tsms;null;113;113; ; ; ; ; ;113;en;what -- this -- now -- hey -- good -- ;ham
sms-spam-collection/_ham_/4547.tsms;      weight   tear      heart  falls   eyes...  remember  stupid friend    share... bslvyl;tsms;null;160;160; ; ; ; ; ;160;en;out -- here -- ;ham
sms-spam-collection/_ham_/1882.tsms;ok.. ü finishing ?;tsms;null;23;23; ; ; ; ; ;23;en; ;ham
sms-spam-collection/_ham_/3186.tsms;maybe if you woke up before fucking 3 this wouldn' be  problem.;tsms;null;66;66; ; ; ; ; ;66;de; ;ham
sms-spam-collection/_ham_/863.tsms;,  guess      hold   connections,   hour  ?  text ;tsms;null;96;96; ; ; ; ; ;96;en;sorry -- ;ham
sms-spam-collection/_ham_/5334.tsms;  steyn surely   wicket;tsms;null;38;38; ; ; ;:) ; ;35;en; ;ham
sms-spam-collection/_ham_/4224.tsms;stupid auto correct   phone;tsms;null;32;32; ; ; ; ; ;32;en; ;ham
sms-spam-collection/_ham_/2061.tsms; .  slice   breadstick. laughing  loud;tsms;null;41;41; ; ; ; ; ;41;en;out -- ;ham
sms-spam-collection/_ham_/4177.tsms;  lag. '   sad part     touch   skype;tsms;null;75;75; ; ; ; ; ;75;en;thanks -- ;ham
sms-spam-collection/_ham_/2928.tsms;ok... u enjoy ur shows...;tsms;null;26;26; ; ; ; ; ;26;br; ;ham
sms-spam-collection/_ham_/5096.tsms; shanil,rakhesh here.,  exchanged  uncut diamond stuff.leaving back. excellent service  dino  prem.;tsms;null;121;121; ; ; ; ; ;121;en;hi -- ;ham
sms-spam-collection/_ham_/1654.tsms;   bugis   wat...   ' walking home oredi... ü  late  reply...  oso   top      buy...   ü ?;tsms;null;145;145; ; ; ; ; ;145;en;so -- saw -- now -- like -- ;ham
sms-spam-collection/_ham_/3519.tsms;      apps class.;tsms;null;38;38; ; ; ; ; ;38;en; ;ham
sms-spam-collection/_ham_/5237.tsms;   uworld site.   buying  qbank     buying     assessment ?;tsms;null;99;99; ; ; ; ; ;99;en; ;ham
sms-spam-collection/_ham_/901.tsms; money worries. things  coming due     outstanding invoices  work      months ago.;tsms;null;127;127; ; ; ; ; ;127;en; ;ham
sms-spam-collection/_ham_/3246.tsms; ,   asks  ,  tel them..;tsms;null;48;48; ; ; ;:-P ; ;44;en;okay -- ;ham
sms-spam-collection/_ham_/5170.tsms;i‘ve got some salt, you can rub it in my open wounds if you like!;tsms;null;66;66; ; ; ; ; ;66;ht; ;ham
sms-spam-collection/_ham_/1537.tsms;how'  feel? mr.    real valentine   year  valentine     play!!;tsms;null;92;92; ; ; ; ; ;92;en;not -- hardly -- ;ham
sms-spam-collection/_ham_/2299.tsms; pick   call   important    . hrishi;tsms;null;70;70; ; ; ; ; ;70;en;when -- there -- don't -- ;ham
sms-spam-collection/_ham_/3774.tsms;  hostel.     sleep.  call    class. hrishi.;tsms;null;72;72; ; ; ; ; ;72;en; ;ham
sms-spam-collection/_ham_/1311.tsms;i.ll   ,      spirit. i.ll   bye bye .        .;tsms;null;104;104; ; ; ; ; ;104;en;there -- sure -- bye -- ;ham
sms-spam-collection/_ham_/3281.tsms;badrith    chennai:)i  surely pick  us:)no competition  .;tsms;null;80;80; ; ; ; ; ;80;en; ;ham
sms-spam-collection/_ham_/2008.tsms; .  birth        8lb 7oz. mother  baby  brilliantly.;tsms;null;82;82; ; ; ; ; ;82;en;hi -- here -- doing -- ;ham
sms-spam-collection/_ham_/5267.tsms;good ni8.sweet drms. care;tsms;null;27;27; ; ; ; ; ;27;en;take care -- good -- ;ham
sms-spam-collection/_ham_/2221.tsms;   funny lor wat...    haf run shorter distance wat...;tsms;null;77;77; ; ; ; ; ;77;en;really -- quite -- ;ham
sms-spam-collection/_ham_/2715.tsms;  thinking     reg  pract lessons.. flung  advance.. haha  time  ?;tsms;null;97;97; ; ; ; ; ;97;en;what -- time -- haha -- ;ham
sms-spam-collection/_ham_/106.tsms;  lot   wishes   birthday.    making  birthday  memorable.;tsms;null;96;96; ; ; ; ; ;96;en;thanks a lot -- thanks -- ;ham
sms-spam-collection/_ham_/4695.tsms; give   food preferably pap  slowly  loads  sugar.       hour  give .    water.   slowly.;tsms;null;148;148; ; ; ; ; ;148;en;sugar -- ;ham
sms-spam-collection/_ham_/4774.tsms;      time  coming  lor.;tsms;null;47;47; ; ; ; ; ;47;en;you tell me -- what -- time -- okay -- later -- ;ham
